hx = 0.225, hy = 0.375, a = 0.4, w = 0.65, freqs = [180.98306368 239.88403351], gamma = 0.12394
hx = 0.225, hy = 0.4, a = 0.4, w = 0.65, freqs = [181.83087156 243.521659  ], gamma = 0.12422
hx = 0.225, hy = 0.375, a = 0.401, w = 0.65, freqs = [180.6623747  239.27244423], gamma = 0.12457
hx = 0.225, hy = 0.4, a = 0.401, w = 0.65, freqs = [181.50199711 242.88932067], gamma = 0.12501
hx = 0.225, hy = 0.375, a = 0.402, w = 0.65, freqs = [180.33138783 238.73635973], gamma = 0.12531
hx = 0.225, hy = 0.4, a = 0.402, w = 0.65, freqs = [181.16324431 242.2709714 ], gamma = 0.12582
hx = 0.225, hy = 0.375, a = 0.403, w = 0.65, freqs = [180.00972343 238.24197381], gamma = 0.12603
hx = 0.225, hy = 0.4, a = 0.403, w = 0.65, freqs = [180.83358722 241.69727863], gamma = 0.12661
hx = 0.225, hy = 0.375, a = 0.404, w = 0.65, freqs = [179.69663589 237.73285176], gamma = 0.12667
hx = 0.225, hy = 0.4, a = 0.404, w = 0.65, freqs = [180.49994186 241.07684209], gamma = 0.12733
hx = 0.225, hy = 0.4, a = 0.405, w = 0.65, freqs = [180.18149803 240.49238729], gamma = 0.128
hx = 0.225, hy = 0.4, a = 0.406, w = 0.65, freqs = [179.85432483 239.8960766 ], gamma = 0.12865
hx = 0.225, hy = 0.4, a = 0.407, w = 0.65, freqs = [179.56355518 239.48702025], gamma = 0.12935
hx = 0.225, hy = 0.4, a = 0.409, w = 0.65, freqs = [179.28783866 238.64114648], gamma = 0.12944
hx = 0.225, hy = 0.4, a = 0.41, w = 0.65, freqs = [178.96804053 238.00173844], gamma = 0.12991
hx = 0.225, hy = 0.4, a = 0.411, w = 0.65, freqs = [178.63667258 237.35108674], gamma = 0.13039
hx = 0.225, hy = 0.425, a = 0.411, w = 0.65, freqs = [179.56855439 240.49967734], gamma = 0.13054
